Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Cà Phê Phố,-1,-1,"12 Quán Sứ Hoàn Kiếm, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/15/69/b4/39/getlstd-property-photo.jpg,"Ngồi ngoài trời, Có bãi đỗ xe, Đỗ xe có người coi, Wifi miễn phí",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15512399-Reviews-Ca_Phe_Pho-Hanoi.html
SumoBBQ Làng Việt Kiều Hà Đông,-1,-1,"10 Nguyễn Văn Lộc LK3C, Hà Đông, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/14/8d/cc/37/getlstd-property-photo.jpg,50.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15101199-Reviews-SumoBBQ_Lang_Viet_Kieu_Ha_Dong-Hanoi.html
Bếp Thái Koh Yam - Vinhomes Ocean Park,-1,-1,"Biệt thự Hải Âu 01-01, Vinhomes Ocean Park, Đa Tốn, Hà Nội Việt Nam",-1,"Kiểu Á, Kiểu Thái, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25454663-Reviews-B_p_Thai_Koh_Yam_Vinhomes_Ocean_Park-Hanoi.html
Sỉn Quán 47 Bát Đàn,-1,-1,"47 Bát Đàn Hoàn Kiếm, Hà Nội Việt Nam",-1,"Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Phục vụ đồ uống có cồn, Rượu và bia, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Chấp nhận thẻ tín dụng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26257969-Reviews-S_n_Quan_47_Bat_Dan-Hanoi.html
Bếp Cương's,-1,-1,"31 Cao Bá Quát, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/24/79/72/72/b-p-cuong-s-ph-c-v-cac.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d24133711-Reviews-B_p_Cuong_s-Hanoi.html
Bu Nó Quán,-1,-1,"48 Võng Thị, Hà Nội 100000 Việt Nam",-1,5.000 ₫ - 30.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d21129096-Reviews-Bu_No_Quan-Hanoi.html
Ểnh Ương coffee,-1,-1,"Số 82 Từ Hoa, Hà Nội 100000 Việt Nam",-1,70.000 ₫ - 150.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d20344365-Reviews-Enh_Uong_coffee-Hanoi.html
Tiệm Bánh Mì 35K,-1,-1,"4 Quan Thanh str, Hà Nội Việt Nam",-1,"Kiểu Nhật, Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25406509-Reviews-Ti_m_Banh_Mi_35K-Hanoi.html
Nhà hàng Lươn Nhật Bản Unaoka Unaoka,-1,-1,"Ngõ 1 C7 Trần Huy Liệu, Ba Dinh, Hà Nội 10000 Việt Nam",-1,"Kiểu Á, Phong cách ẩm thực Fusion Nhật Bản",,https://www.tripadvisor.com.vn/Restaurant_Review-g23068219-d23992952-Reviews-Unaoka_Japanese_Eel_Restaurant_Unaoka-Ba_Dinh_Hanoi.html
Yukssam Trần Thái Tông,-1,-1,"103 d5c tran thai tong, cầu giấy, Hà Nội 10000 Việt Nam",-1,"Kiểu Á, Kiểu Hàn Quốc",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23425339-Reviews-Yukssam_Tr_n_Thai_Tong-Hanoi.html
